spain 8182            {'weight': 1}
spain commanderinchief {'weight': 1}
spain placed          {'weight': 1}
spain participant     {'weight': 1}
spain various         {'weight': 1}
spain cooperation     {'weight': 1}
spain deputies        {'weight': 1}
spain culmination     {'weight': 1}
spain jos             {'weight': 1}
spain originated      {'weight': 1}
spain monarchy        {'weight': 1}
spain senegaleses     {'weight': 1}
spain efficiency      {'weight': 1}
spain aircraft        {'weight': 1}
spain ranked          {'weight': 1}
spain 80000           {'weight': 1}
spain isthmus         {'weight': 1}
spain dates           {'weight': 1}
spain met             {'weight': 1}
spain density         {'weight': 1}
spain against         {'weight': 1}
spain energies        {'weight': 1}
spain 145             {'weight': 1}
spain residency       {'weight': 1}
spain rail            {'weight': 1}
spain contribution    {'weight': 1}
spain point           {'weight': 1}
spain others          {'weight': 1}
spain nonrenewable    {'weight': 1}
spain represented     {'weight': 1}
spain 62              {'weight': 1}
spain 64              {'weight': 1}
spain hotter          {'weight': 1}
spain administrations {'weight': 1}
spain almeria         {'weight': 1}
spain considering     {'weight': 1}
spain mara            {'weight': 1}
spain growth          {'weight': 1}
spain nato            {'weight': 1}
spain define          {'weight': 1}
spain lived           {'weight': 1}
spain ages            {'weight': 1}
spain gas             {'weight': 1}
spain fruits          {'weight': 1}
spain plants          {'weight': 1}
spain tank            {'weight': 1}
spain grains          {'weight': 1}
spain mount           {'weight': 1}
spain n               {'weight': 1}
spain while           {'weight': 1}
spain douro           {'weight': 1}
spain balance         {'weight': 1}
spain margin          {'weight': 1}
spain century         {'weight': 1}
spain middle          {'weight': 1}
spain 101102103       {'weight': 1}
spain itself          {'weight': 1}
spain ave             {'weight': 1}
spain increased       {'weight': 1}
spain euskara         {'weight': 1}
spain confirmed       {'weight': 1}
spain 1812            {'weight': 1}
spain juan            {'weight': 1}
spain modality        {'weight': 1}
spain unity           {'weight': 1}
spain complex         {'weight': 1}
spain geographical    {'weight': 1}
spain units           {'weight': 1}
spain colonies        {'weight': 1}
spain leopard         {'weight': 1}
spain effect          {'weight': 1}
spain flows           {'weight': 1}
spain persons         {'weight': 1}
spain strength        {'weight': 1}
spain disputes        {'weight': 1}
spain catalans        {'weight': 1}
spain estado          {'weight': 1}
spain inhabitated     {'weight': 1}
spain expand          {'weight': 1}
spain lower           {'weight': 1}
spain 1979            {'weight': 1}
spain 1975            {'weight': 1}
spain hispanic        {'weight': 1}
spain 195365          {'weight': 1}
spain comes           {'weight': 1}
spain coordinate      {'weight': 1}
spain tagus           {'weight': 1}
spain left            {'weight': 1}
spain summer          {'weight': 1}
spain desolate        {'weight': 1}
spain livestock       {'weight': 1}
spain settling        {'weight': 1}
spain rest            {'weight': 1}
spain thanks          {'weight': 1}
spain speed           {'weight': 1}
spain prey            {'weight': 1}
spain death           {'weight': 1}
spain euros           {'weight': 1}
spain headed          {'weight': 1}
spain royal           {'weight': 1}
spain 105106          {'weight': 1}
spain peninsular      {'weight': 1}
spain extends         {'weight': 1}
spain plateau         {'weight': 1}
spain agbar           {'weight': 1}
spain electrical      {'weight': 1}
spain save            {'weight': 1}
spain expelled        {'weight': 1}
spain real            {'weight': 1}
spain inflation       {'weight': 1}
spain advanced        {'weight': 1}
spain like            {'weight': 1}
spain maintained      {'weight': 1}
spain admitted        {'weight': 1}
spain destination     {'weight': 1}
spain valenci         {'weight': 1}
spain replacement     {'weight': 1}
spain specifies       {'weight': 1}
spain 67              {'weight': 1}
spain back            {'weight': 1}
spain 115             {'weight': 1}
spain possessions193194 {'weight': 1}
spain 116             {'weight': 1}
spain export          {'weight': 1}
spain examples        {'weight': 1}
